"SMS_Text","Label"
"""Ve hasta el punto jurong, loco... Disponible sólo en bugis n great world la e buffet... Cine allí tiene amore wat..."",,,","legitimo"
"Ok lar... Bromeando contigo oni...,,,","legitimo"
"Entrada gratuita en 2 competiciones semanales para ganar los partidos de la final de la Copa FA el 21 de mayo de 2005. Envíe un mensaje de texto con FA al 87121 para recibir la pregunta de inscripción (tasa de texto estándar). Se aplican los términos y condiciones 08452810075 para mayores de 18 años,,,","smishing"
"No lo dices temprano hor... Ya entonces dices...,,,","legitimo"
"""No, no creo que vaya a nosotros, aunque vive por aquí"""",,,""","legitimo"
"""FreeMsg ¡Hola cariño, ya han pasado 3 semanas y no hemos recibido respuesta! ¿Me gustaría divertirte todavía? ¡Tb ok! XxX cambios estándar para enviar, �1,50 a rcv"",,,","smishing"
"Ni siquiera a mi hermano le gusta hablar conmigo. Me tratan como a una patente de sida.,,,","legitimo"
"Según su solicitud, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' se ha configurado como su tono de llamada para todas las personas que llaman. Presiona *9 para copiar Callertune de tus amigos,,,","legitimo"
"¡¡GANADOR!! Como valioso cliente de la red, usted ha sido seleccionado para recibir un premio de £900. Para reclamar llame al 09061701461. Código de reclamo KL341. Válido sólo 12 horas.,,,","smishing"
"¿Tenías tu móvil 11 meses o más? ¡U R tiene derecho a actualizar a los últimos móviles en color con cámara gratis! Llame GRATIS a The Mobile Update Co al 08002986030 ,,,","smishing"
"""Estaré en casa pronto y no quiero hablar más de estas cosas esta noche, ¿vale? Ya he llorado suficiente hoy"".","legitimo"
"""¡SEIS oportunidades de ganar EFECTIVO! De 100 a 20 000 libras txt> CSH11 y envío al 87575. Costo 150 p/día, 6 días, se aplican más de 16 TsandC Responder HL 4 información"",,,","smishing"
"""¡URGENTE! ¡Ha ganado una membresía GRATUITA de 1 semana en nuestro premio mayor de �100,000! Envíe un mensaje de texto con la palabra: RECLAMAR al número: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"",,,","smishing"
"He estado buscando las palabras adecuadas para agradecerte por este respiro. Prometo que no daré por sentada tu ayuda y cumpliré mi promesa. Has sido maravillosa y de bendición en todo momento.,,,","legitimo"
"¡¡TENGO UNA CITA EL DOMINGO CON WILL!!,,,","legitimo"
"""XXXMobileMovieClub: Para usar su crédito, haga clic en el enlace WAP en el siguiente mensaje de texto o haga clic aquí>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"",,,","smishing"
"Oh k... estoy mirando aquí :),,,","legitimo"
